Channel No. (Load_Case),Channel Name,Node ID,Force/moment,coordinate,magnitude
1,1 SPARE WHEEL FIXED JT (FRAME) - Fx,10001,FX,0,1
2,2 SPARE WHEEL FIXED JT (FRAME) - Fy,10001,FY,0,1
3,3 SPARE WHEEL FIXED JT (FRAME) - Fz,10001,FZ,0,1
4,4 FUEL TANK FIXED JT (FRAME) - Fx  ,10002,FX,0,1
5,5 FUEL TANK FIXED JT (FRAME) - Fy  ,10002,FY,0,1
6,6 FUEL TANK FIXED JT (FRAME) - Fz  ,10002,FZ,0,1
7,7 DEF TANK FIXED JT (FRAME) - Fx   ,10003,FX,0,1
8,8 DEF TANK FIXED JT (FRAME) - Fy   ,10003,FY,0,1
9,9 DEF TANK FIXED JT (FRAME) - Fz   ,10003,FZ,0,1
10,10 BODY MOUNT BKT 0-LEFT (FRAME) - Fx,10004,FX,0,1
11,11 BODY MOUNT BKT 0-LEFT (FRAME) - Fy,10004,FY,0,1
12,12 BODY MOUNT BKT 0-LEFT (FRAME) - Fz,10004,FZ,0,1
13,13 BODY MOUNT BKT 0-RIGHT (FRAME) - Fx,10005,FX,0,1
14,14 BODY MOUNT BKT 0-RIGHT (FRAME) - Fy,10005,FY,0,1
15,15 BODY MOUNT BKT 0-RIGHT (FRAME) - Fz,10005,FZ,0,1
16,16 BODY MOUNT BKT 1-LEFT (FRAME) - Fx,10006,FX,0,1
17,17 BODY MOUNT BKT 1-LEFT (FRAME) - Fy,10006,FY,0,1
18,18 BODY MOUNT BKT 1-LEFT (FRAME) - Fz,10006,FZ,0,1
19,19 BODY MOUNT BKT 1-RIGHT (FRAME) - Fx,10007,FX,0,1
20,20 BODY MOUNT BKT 1-RIGHT (FRAME) - Fy,10007,FY,0,1
21,21 BODY MOUNT BKT 1-RIGHT (FRAME) - Fz,10007,FZ,0,1
22,22 BODY MOUNT BKT 2-LEFT (FRAME) - Fx,10008,FX,0,1
23,23 BODY MOUNT BKT 2-LEFT (FRAME) - Fy,10008,FY,0,1
24,24 BODY MOUNT BKT 2-LEFT (FRAME) - Fz,10008,FZ,0,1
25,25 BODY MOUNT BKT 2-RIGHT (FRAME) - Fx,10009,FX,0,1
26,26 BODY MOUNT BKT 2-RIGHT (FRAME) - Fy,10009,FY,0,1
27,27 BODY MOUNT BKT 2-RIGHT (FRAME) - Fz,10009,FZ,0,1
28,28 BODY MOUNT BKT 3-LEFT (FRAME) - Fx,10010,FX,0,1
29,29 BODY MOUNT BKT 3-LEFT (FRAME) - Fy,10010,FY,0,1
30,30 BODY MOUNT BKT 3-LEFT (FRAME) - Fz,10010,FZ,0,1
31,31 BODY MOUNT BKT 3-RIGHT (FRAME) - Fx,10011,FX,0,1
32,32 BODY MOUNT BKT 3-RIGHT (FRAME) - Fy,10011,FY,0,1
33,33 BODY MOUNT BKT 3-RIGHT (FRAME) - Fz,10011,FZ,0,1
34,34 LCA-F ALIGNMENT CAM-LEFT (FRAME) - Fx,10012,FX,0,1
35,35 LCA-F ALIGNMENT CAM-LEFT (FRAME) - Fy,10012,FY,0,1
36,36 LCA-F ALIGNMENT CAM-LEFT (FRAME) - Fz,10012,FZ,0,1
37,37 LCA-F ALIGNMENT CAM-RIGHT (FRAME) - Fx,10013,FX,0,1
38,38 LCA-F ALIGNMENT CAM-RIGHT (FRAME) - Fy,10013,FY,0,1
39,39 LCA-F ALIGNMENT CAM-RIGHT (FRAME) - Fz,10013,FZ,0,1
40,40 LCA-R ALIGNMENT CAM-LEFT (FRAME) - Fx,10014,FX,0,1
41,41 LCA-R ALIGNMENT CAM-LEFT (FRAME) - Fy,10014,FY,0,1
42,42 LCA-R ALIGNMENT CAM-LEFT (FRAME) - Fz,10014,FZ,0,1
43,43 LCA-R ALIGNMENT CAM-RIGHT (FRAME) - Fx,10015,FX,0,1
44,44 LCA-R ALIGNMENT CAM-RIGHT (FRAME) - Fy,10015,FY,0,1
45,45 LCA-R ALIGNMENT CAM-RIGHT (FRAME) - Fz,10015,FZ,0,1
46,46 UCA-F ALIGNMENT CAM-LEFT (FRAME) - Fx,10016,FX,0,1
47,47 UCA-F ALIGNMENT CAM-LEFT (FRAME) - Fy,10016,FY,0,1
48,48 UCA-F ALIGNMENT CAM-LEFT (FRAME) - Fz,10016,FZ,0,1
49,49 UCA-F ALIGNMENT CAM-RIGHT (FRAME) - Mx,10017,MX,0,1
50,50 UCA-F ALIGNMENT CAM-RIGHT (FRAME) - My,10017,MY,0,1
51,51 UCA-F ALIGNMENT CAM-RIGHT (FRAME) - Mz,10017,MZ,0,1
52,52 UCA-R ALIGNMENT CAM-LEFT (FRAME) - Fx,10018,FX,0,1
53,53 UCA-R ALIGNMENT CAM-LEFT (FRAME) - Fy,10018,FY,0,1
54,54 UCA-R ALIGNMENT CAM-LEFT (FRAME) - Fz,10018,FZ,0,1
55,55 UCA-R ALIGNMENT CAM-RIGHT (FRAME) - Fx,10019,FX,0,1
56,56 UCA-R ALIGNMENT CAM-RIGHT (FRAME) - Fy,10019,FY,0,1
57,57 UCA-R ALIGNMENT CAM-RIGHT (FRAME) - Fz,10019,FZ,0,1
58,58 FRONT SHOCK UPR MNT-LEFT (FRAME) - Fx,10020,FX,0,1
59,59 FRONT SHOCK UPR MNT-LEFT (FRAME) - Fy,10020,FY,0,1
60,60 FRONT SHOCK UPR MNT-LEFT (FRAME) - Fz,10020,FZ,0,1
61,61 FRONT SHOCK UPR MNT-RIGHT (FRAME) - Fx,10021,FX,0,1
62,62 FRONT SHOCK UPR MNT-RIGHT (FRAME) - Fy,10021,FY,0,1
63,63 FRONT SHOCK UPR MNT-RIGHT (FRAME) - Fz,10021,FZ,0,1
64,64 STABAR MOUNT BRACKET FIXJT-LEFT (FRAME) - Fx,10022,FX,0,1
65,65 STABAR MOUNT BRACKET FIXJT-LEFT (FRAME) - Fy,10022,FY,0,1
66,66 STABAR MOUNT BRACKET FIXJT-LEFT (FRAME) - Fz,10022,FZ,0,1
67,67 STABAR MOUNT BRACKET FIXJT-RIGHT (FRAME) - Mx,10023,MX,0,1
68,68 STABAR MOUNT BRACKET FIXJT-RIGHT (FRAME) - My,10023,MY,0,1
69,69 STABAR MOUNT BRACKET FIXJT-RIGHT (FRAME) - Mz,10023,MZ,0,1
